CountyName,GrowthRate,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
Allegheny County,2.967612168,-0.25477707,-6,0,-4,0,-12.12121212
Allegheny County,3.065357689,-2.864583333,5,0,6.369426752,0,-8.333333333
Allegheny County,3.310802396,-2.917771883,8.510638298,50,5.590062112,0,52.63157895
Allegheny County,3.400304933,-2.239641657,23.4375,50,-20,0,6.666666667
Allegheny County,3.408756582,-2.302631579,17.0212766,50,11.76470588,0,41.66666667
Allegheny County,3.411461834,1.076555024,-16.66666667,0,-10.71428571,0,-21.62162162
Allegheny County,3.433371316,2.469135802,-3.289473684,0,-6.25,0,-6.666666667
Allegheny County,3.487851948,-5.929304447,56.4516129,0,-11.11111111,0,3.225806452
Allegheny County,3.605343474,1.072386059,11.9047619,100,-3.592814371,0,15.15151515
Allegheny County,3.774068104,-1.015801354,-1.587301587,0,38.46153846,0,19.23076923
Allegheny County,4.054626043,-2.155172414,3.361344538,0,0,0,-2.941176471
Allegheny County,4.218845068,1.785714286,-6.006006006,200,-1.724137931,0,11.11111111
Allegheny County,4.411498583,-2.396166134,-1.083032491,0,53.84615385,0,-6.818181818
Allegheny County,4.43550276,-1.901565996,23.4375,0,-6.25,0,90.90909091
Allegheny County,4.4614254,1.458670989,-5.782312925,0,14.70588235,0,25.71428571
Allegheny County,4.614991288,-0.254129606,25,0,-6.71641791,0,-8.333333333
Allegheny County,4.694296315,-0.337457818,3.278688525,0,-23.52941176,0,-29.72972973
Allegheny County,4.822812703,0.432900433,8.181818182,0,-6.369426752,0,3.03030303
Allegheny County,4.863516089,-3.436426117,27.84810127,-33.33333333,75,0,31.25
Allegheny County,4.994484967,-5.040322581,4.895104895,0,20,0,15
Allegheny County,5.003712399,-1.929824561,-3.194888179,-33.33333333,12.28070175,0,-2
Allegheny County,5.112203803,-1.304863582,0,-50,42.85714286,0,14.28571429
Allegheny County,5.142337281,-2.587322122,8.333333333,0,-9.523809524,0,33.33333333
Allegheny County,5.142928952,0,3.284671533,0,-26.66666667,100,24.3902439
Allegheny County,5.199972668,-0.795454545,-2.941176471,400,6.666666667,0,18.18181818
